ID,Kategori,Method,Endpoint,Deskripsi,Auth Required,Required Role,Request Body (contoh),Response (contoh),Status Codes
AUTH-001,Authentication,POST,/api/auth/register,Registrasi pengguna baru,No,-,"{ email, password, name, role }","{ status, message, data: { user_id, name, email, role } }","201, 422, 400"
AUTH-002,Authentication,POST,/api/auth/login,Login dan mendapatkan token JWT/Sanctum,No,-,"{ email, password }","{ status, message, data: { token, user } }","200, 401, 422"
AUTH-003,Authentication,POST,/api/auth/logout,Logout dan revoke token,Yes,-,{},"{ status, message }","200, 401"
AUTH-004,Authentication,GET,/api/auth/me,Mendapatkan profil pengguna aktif,Yes,-,{},"{ status, message, data: { id, name, email, role, created_at } }","200, 401"
PROD-001,Manajemen Produk,GET,/api/products,Mengambil daftar semua produk,Yes,-,"Query: ?category_id=X&search=Y&page=1","{ status, message, data: [], pagination }","200, 401"
PROD-002,Manajemen Produk,POST,/api/products,Menambahkan produk baru,Yes,owner,"{ name, sku, category_id, buy_price, sell_price, image }","{ status, message, data: { id, name, sku } }","201, 422, 401, 403"
PROD-003,Manajemen Produk,GET,/api/products/{id},Mengambil detail satu produk,Yes,-,{},"{ status, message, data: { id, name, sku, buy_price, sell_price, stock } }","200, 401, 404"
PROD-004,Manajemen Produk,PUT,/api/products/{id},Memperbarui data produk,Yes,owner,"{ name?, category_id?, buy_price?, sell_price? }","{ status, message, data: { id, updated_at } }","200, 422, 401, 403, 404"
PROD-005,Manajemen Produk,DELETE,/api/products/{id},Menghapus produk (soft delete),Yes,owner,{},"{ status, message }","200, 401, 403, 404"
PROD-006,Manajemen Produk,GET,/api/products/categories,Mengambil daftar kategori produk,Yes,-,{},"{ status, message, data: [ { id, name, animal_type, sub_categories } ] }","200, 401"
POS-001,Point of Sale,POST,/api/transactions,Membuat transaksi penjualan baru,Yes,kasir,"{ channel, items: [], payment_method, amount_paid }","{ status, message, data: { transaction_id, total, change } }","201, 422, 401, 403"
POS-002,Point of Sale,GET,/api/transactions,Mengambil daftar transaksi,Yes,-,"Query: ?channel=X&start_date=Y&end_date=Z&page=1","{ status, message, data: [], pagination }","200, 401"
POS-003,Point of Sale,GET,/api/transactions/{id},Mengambil detail transaksi,Yes,-,{},"{ status, message, data: { id, transaction_id, items, total, payment_method } }","200, 401, 404"
POS-004,Point of Sale,GET,/api/transactions/{id}/receipt,Mengambil data struk transaksi,Yes,-,{},"{ status, message, data: { transaction_id, items, total, change, kasir_name } }","200, 401, 404"
REPORT-001,Dashboard & Laporan,GET,/api/reports/sales,Laporan penjualan berdasarkan filter periode,Yes,owner,"Query: ?start_date=X&end_date=Y&channel=Z","{ status, message, data: { period, summary, by_channel } }","200, 401, 403, 422"
REPORT-002,Dashboard & Laporan,GET,/api/reports/sales/summary,Ringkasan penjualan harian/mingguan/bulanan,Yes,owner,"Query: ?period=daily|weekly|monthly&year=2026","{ status, message, data: [ { date, total_revenue, transaction_count } ] }","200, 401, 403, 422"
REPORT-003,Dashboard & Laporan,GET,/api/reports/top-products,Produk terlaris berdasarkan kuantitas/nilai,Yes,owner,"Query: ?sort_by=quantity|revenue&limit=10","{ status, message, data: [ { rank, product_name, quantity_sold, total_revenue } ] }","200, 401, 403, 422"
REPORT-004,Dashboard & Laporan,GET,/api/dashboard/analytics,Data analytics untuk dashboard (grafik, KPI),Yes,owner,"Query: ?period=7d|30d|3m","{ status, message, data: { kpi, sales_trend, top_products, category_breakdown, low_stock_alerts } }","200, 401, 403"
